iter	Passed	Remaining
0	86	173117
1	188	188087
2	270	180171
3	356	177989
4	459	183168
5	548	182335
6	645	183874
7	746	185875
8	847	187441
9	947	188606
10	1036	187366
11	1127	186820
12	1220	186554
13	1319	187140
14	1418	187726
15	1516	188026
16	1612	188129
17	1712	188557
18	1816	189405
19	1927	190815
20	2027	191053
21	2125	191140
22	2241	192632
23	2353	193792
24	2466	194832
25	2565	194798
26	2665	194764
27	2769	195058
28	2869	195032
29	2973	195238
30	3071	195106
31	3173	195152
32	3276	195269
33	3374	195113
34	3471	194889
35	3570	194796
36	3671	194802
37	3773	194811
38	3888	195497
39	3987	195397
40	4084	195174
41	4187	195217
42	4303	195838
43	4417	196376
44	4514	196122
45	4614	195998
46	4718	196078
47	4822	196123
48	4927	196201
49	5031	196212
50	5132	196140
51	5238	196243
52	5341	196220
53	5442	196136
54	5541	195957
55	5591	194096
56	5696	194177
57	5802	194279
58	5919	194726
59	6021	194700
60	6124	194667
61	6226	194638
62	6329	194606
63	6445	194969
64	6547	194924
65	6648	194809
66	6751	194794
67	6856	194815
68	6959	194762
69	7059	194646
70	7159	194526
71	7264	194539
72	7367	194486
73	7468	194371
74	7580	194553
75	7681	194465
76	7751	193595
77	7855	193566
78	7961	193602
79	8065	193564
80	8167	193496
81	8272	193496
82	8375	193437
83	8478	193401
84	8577	193236
85	8677	193134
86	8780	193062
87	8885	193051
88	8989	193025
89	9073	192559
90	9176	192514
91	9282	192511
92	9385	192449
93	9488	192397
94	9588	192275
95	9691	192208
96	9794	192157
97	9899	192139
98	10004	192113
99	10106	192028
100	10209	191963
101	10311	191878
102	10414	191803
103	10515	191706
104	10582	190988
105	10681	190848
106	10787	190840
107	10891	190810
108	10997	190785
109	11098	190684
110	11200	190614
111	11303	190548
112	11406	190485
113	11493	190142
114	11601	190166
115	11703	190087
116	11807	190032
117	11911	189981
118	12013	189893
119	12110	189732
120	12212	189651
121	12317	189607
122	12420	189535
123	12536	189670
124	12637	189566
125	12739	189474
126	12842	189395
127	12943	189297
128	13058	189401
129	13162	189343
130	13264	189249
131	13367	189175
132	13471	189110
133	13571	188988
134	13669	188837
135	13774	188788
136	13878	188724
137	13982	188667
138	14085	188581
139	14189	188514
140	14306	188620
141	14421	188701
142	14534	188747
143	14634	188627
144	14737	188537
145	14842	188473
146	14946	188406
147	15047	188295
148	15161	188346
149	15267	188295
150	15370	188209
151	15474	188140
152	15585	188141
153	15684	188011
154	15787	187927
155	15890	187830
156	15994	187752
157	16087	187555
158	16202	187601
159	16304	187498
160	16407	187406
161	16509	187315
162	16610	187193
163	16710	187071
164	16825	187114
165	16927	187017
166	17027	186896
167	17131	186818
168	17228	186661
169	17345	186718
170	17447	186611
171	17550	186524
172	17644	186340
173	17744	186215
174	17848	186130
175	17949	186018
176	18052	185932
177	18153	185815
178	18257	185736
179	18363	185680
180	18463	185557
181	18564	185438
182	18665	185326
183	18763	185186
184	18866	185097
185	18969	185007
186	19071	184904
187	19173	184804
188	19278	184724
189	19382	184640
190	19483	184534
191	19583	184408
192	19683	184292
193	19784	184177
194	19886	184074
195	19990	183994
196	20092	183888
197	20195	183802
198	20297	183701
199	20399	183594
200	20500	183482
201	20601	183377
202	20701	183249
203	20809	183208
204	20933	183299
205	21046	183292
206	21146	183165
207	21247	183056
208	21376	183184
209	21478	183077
210	21590	183061
211	21692	182950
212	21789	182806
213	21906	182823
214	22009	182729
215	22110	182613
216	22203	182434
217	22305	182333
218	22420	182336
219	22523	182239
220	22629	182163
221	22729	182037
222	22832	181941
223	22937	181859
224	23039	181752
225	23144	181676
226	23257	181651
227	23360	181553
228	23462	181449
229	23567	181366
230	23667	181245
231	23769	181137
232	23872	181044
233	23977	180957
234	24078	180848
235	24183	180758
236	24285	180656
237	24389	180561
238	24494	180483
239	24598	180387
240	24698	180270
241	24800	180165
242	24897	180023
243	25000	179918
244	25106	179847
245	25209	179744
246	25311	179640
247	25426	179626
248	25527	179514
249	25629	179407
250	25732	179308
251	25833	179195
252	25932	179068
253	26036	178978
254	26141	178889
255	26243	178784
256	26343	178666
257	26446	178565
258	26550	178472
259	26652	178363
260	26755	178268
261	26855	178150
262	26957	178043
263	27058	177927
264	27161	177833
265	27261	177711
266	27362	177602
267	27464	177495
268	27566	177388
269	27676	177334
270	27775	177212
271	27879	177117
272	27976	176980
273	28093	176969
274	28198	176879
275	28301	176780
276	28403	176676
277	28505	176570
278	28630	176603
279	28733	176503
280	28834	176394
281	28935	176280
282	29036	176170
283	29140	176073
284	29243	175971
285	29347	175877
286	29450	175780
287	29554	175685
288	29659	175593
289	29760	175486
290	29861	175373
291	29964	175270
292	30068	175178
293	30171	175077
294	30275	174980
295	30376	174870
296	30478	174765
297	30594	174734
298	30709	174703
299	30810	174591
300	30912	174485
301	31014	174380
302	31117	174278
303	31215	174148
304	31342	174184
305	31446	174086
306	31548	173981
307	31653	173888
308	31754	173776
309	31855	173661
310	31966	173605
311	32068	173497
312	32169	173388
313	32268	173265
314	32380	173209
315	32483	173105
316	32583	172992
317	32688	172899
318	32791	172798
319	32894	172698
320	32997	172596
321	33099	172486
322	33206	172407
323	33309	172302
324	33411	172196
325	33516	172104
326	33617	171991
327	33727	171925
328	33830	171824
329	33933	171724
330	34034	171614
331	34138	171515
332	34240	171408
333	34342	171300
334	34443	171191
335	34546	171087
336	34644	170963
337	34747	170859
338	34845	170735
339	34944	170612
340	35047	170509
341	35172	170512
342	35289	170482
343	35407	170448
344	35510	170349
345	35612	170239
346	35716	170140
347	35817	170028
348	35919	169921
349	36024	169827
350	36127	169727
351	36229	169620
352	36331	169511
353	36433	169403
354	36536	169304
355	36640	169206
356	36743	169102
357	36845	168996
358	36949	168897
359	37050	168785
360	37150	168670
361	37238	168496
362	37333	168362
363	37437	168263
364	37540	168160
365	37644	168062
366	37757	168007
367	37855	167881
368	37959	167782
369	38062	167679
370	38177	167629
371	38282	167536
372	38381	167419
373	38482	167305
374	38584	167200
375	38687	167095
376	38790	166994
377	38892	166889
378	38995	166785
379	39100	166690
380	39203	166587
381	39304	166477
382	39405	166366
383	39509	166268
384	39610	166159
385	39711	166046
386	39813	165940
387	39916	165838
388	40019	165736
389	40123	165636
390	40225	165530
391	40330	165437
392	40433	165335
393	40536	165231
394	40638	165126
395	40741	165022
396	40844	164922
397	40947	164819
398	41053	164728
399	41157	164628
400	41260	164528
401	41365	164431
402	41468	164329
403	41570	164225
404	41672	164116
405	41773	164006
406	41876	163904
407	41978	163798
408	42082	163698
409	42184	163593
410	42289	163497
411	42386	163374
412	42488	163265
413	42591	163164
414	42692	163053
415	42794	162949
416	42898	162850
417	42999	162740
418	43103	162640
419	43207	162541
420	43310	162441
421	43414	162342
422	43517	162239
423	43619	162132
424	43720	162024
425	43821	161911
426	43923	161808
427	44026	161705
428	44130	161604
429	44233	161502
430	44333	161390
431	44436	161289
432	44539	161184
433	44643	161086
434	44746	160984
435	44848	160877
436	44950	160773
437	45054	160674
438	45158	160574
439	45263	160478
440	45379	160423
441	45491	160351
442	45590	160234
443	45692	160130
444	45804	160058
445	45907	159955
446	46010	159851
447	46139	159840
448	46243	159739
449	46345	159634
450	46446	159526
451	46549	159420
452	46665	159362
453	46766	159253
454	46867	159144
455	46972	159047
456	47070	158926
457	47173	158824
458	47279	158732
459	47381	158623
460	47478	158500
461	47580	158394
462	47683	158292
463	47785	158186
464	47894	158104
465	48004	158022
466	48102	157905
467	48217	157839
468	48317	157728
469	48420	157622
470	48524	157524
471	48626	157416
472	48730	157319
473	48834	157216
474	48930	157093
475	49033	156990
476	49136	156885
477	49240	156785
478	49343	156684
479	49446	156579
480	49546	156468
481	49643	156347
482	49747	156246
483	49848	156135
484	49950	156029
485	50052	155923
486	50155	155820
487	50258	155719
488	50374	155656
489	50474	155544
490	50577	155439
491	50792	155679
492	50901	155593
493	50992	155455
494	51092	155340
495	51191	155226
496	51294	155121
497	51394	155009
498	51503	154922
499	51603	154809
500	51703	154698
501	51806	154593
502	51918	154518
503	52019	154405
504	52116	154284
505	52218	154177
506	52318	154065
507	52417	153950
508	52514	153829
509	52615	153719
510	52718	153616
511	52819	153508
512	52923	153405
513	53021	153287
514	53120	153171
515	53224	153070
516	53326	152964
517	53428	152859
518	53529	152749
519	53630	152640
520	53728	152521
521	53829	152414
522	53928	152299
523	54028	152188
524	54130	152081
525	54234	151979
526	54338	151878
527	54440	151773
528	54541	151663
529	54641	151552
530	54742	151442
531	54847	151345
532	54951	151245
533	55042	151108
534	55143	151000
535	55246	150898
536	55364	150835
537	55466	150729
538	55573	150636
539	55678	150537
540	55793	150467
541	55895	150360
542	55995	150250
543	56099	150147
544	56201	150042
545	56306	149943
546	56410	149842
547	56510	149731
548	56612	149626
549	56714	149521
550	56817	149417
551	56919	149311
552	57021	149204
553	57122	149096
554	57226	148994
555	57330	148894
556	57432	148788
557	57551	148725
558	57652	148617
559	57754	148511
560	57856	148405
561	57968	148325
562	58064	148204
563	58176	148123
564	58280	148022
565	58379	147909
566	58483	147807
567	58585	147701
568	58685	147591
569	58790	147492
570	58893	147388
571	58995	147282
572	59111	147212
573	59212	147102
574	59316	147001
575	59419	146899
576	59524	146798
577	59625	146690
578	59727	146584
579	59828	146476
580	59928	146366
581	60031	146263
582	60132	146154
583	60235	146050
584	60338	145947
585	60442	145846
586	60563	145785
587	60663	145675
588	60760	145556
589	60864	145455
590	60961	145338
591	61059	145222
592	61155	145102
593	61258	144998
594	61361	144894
595	61464	144792
596	61567	144688
597	61667	144578
598	61767	144468
599	61871	144367
600	61985	144288
601	62088	144186
602	62190	144079
603	62291	143972
604	62395	143871
605	62498	143767
606	62608	143679
607	62729	143618
608	62831	143510
609	62945	143433
610	63049	143331
611	63151	143225
612	63250	143114
613	63354	143010
614	63457	142908
615	63559	142803
616	63658	142689
617	63758	142578
618	63858	142470
619	63958	142358
620	64062	142257
621	64161	142146
622	64262	142037
623	64365	141934
624	64467	141829
625	64569	141722
626	64671	141617
627	64773	141510
628	64885	141427
629	64987	141321
630	65088	141213
631	65191	141110
632	65308	141036
633	65411	140933
634	65511	140824
635	65615	140723
636	65716	140614
637	65818	140509
638	65922	140407
639	66022	140298
640	66127	140199
641	66227	140089
642	66328	139982
643	66430	139876
644	66534	139773
645	66638	139672
646	66739	139565
647	66840	139457
648	66936	139339
649	67048	139254
650	67147	139142
651	67251	139040
652	67352	138933
653	67455	138829
654	67552	138714
655	67652	138605
656	67760	138511
657	67859	138400
658	67963	138298
659	68074	138212
660	68169	138092
661	68273	137990
662	68376	137886
663	68478	137782
664	68579	137675
665	68697	137602
666	68796	137490
667	68897	137383
668	69000	137279
669	69102	137174
670	69203	137066
671	69318	136986
672	69422	136884
673	69525	136781
674	69625	136673
675	69714	136541
676	69818	136440
677	69920	136334
678	70033	136250
679	70134	136142
680	70237	136040
681	70335	135926
682	70437	135822
683	70538	135714
684	70639	135607
685	70742	135503
686	70845	135401
687	70948	135297
688	71054	135200
689	71149	135080
690	71252	134978
691	71366	134894
692	71470	134794
693	71574	134691
694	71675	134584
695	71776	134478
696	71876	134369
697	71979	134265
698	72093	134181
699	72194	134075
700	72296	133969
701	72398	133864
702	72501	133761
703	72593	133637
704	72694	133531
705	72796	133426
706	72919	133359
707	73045	133297
708	73146	133190
709	73247	133083
710	73356	132990
711	73458	132885
712	73560	132780
713	73662	132675
714	73762	132565
715	73863	132459
716	73963	132350
717	74064	132244
718	74189	132178
719	74293	132077
720	74395	131972
721	74513	131895
722	74627	131810
723	74724	131697
724	74824	131588
725	74938	131504
726	75041	131399
727	75138	131286
728	75235	131171
729	75330	131055
730	75432	130948
731	75532	130841
732	75633	130733
733	75737	130631
734	75837	130523
735	75941	130420
736	76040	130311
737	76143	130208
738	76256	130121
739	76356	130012
740	76460	129910
741	76571	129821
742	76674	129716
743	76776	129611
744	76877	129504
745	76978	129398
746	77079	129291
747	77193	129205
748	77290	129092
749	77386	128976
750	77490	128875
751	77591	128769
752	77684	128649
753	77789	128548
754	77890	128441
755	77991	128334
756	78100	128240
757	78196	128127
758	78294	128014
759	78394	127907
760	78496	127801
761	78596	127693
762	78697	127587
763	78796	127477
764	78896	127368
765	78997	127263
766	79110	127175
767	79212	127069
768	79310	126958
